Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16,69.580002,69.800003,68.250000,68.830002,68.222176,23412000
2022-09-19,68.199997,69.129997,67.910004,69.070000,68.460052,8364000
2022-09-20,68.269997,68.459999,67.449997,68.110001,67.508530,8624300
2022-09-21,68.709999,68.879997,66.739998,66.750000,66.160538,6768200
2022-09-22,66.849998,66.940002,65.839996,66.029999,65.446899,7190700
2022-09-23,65.349998,65.440002,63.869999,64.550003,63.979973,9282500
2022-09-26,64.330002,64.919998,63.389999,63.450001,62.889679,6897800
2022-09-27,64.160004,64.400002,62.040001,62.419998,61.868774,9284800
2022-09-28,62.619999,63.349998,62.250000,63.070000,62.513039,8549900
2022-09-29,62.290001,62.599998,60.779999,61.400002,60.857788,8882100
2022-09-30,61.259998,62.139999,61.060001,61.070000,60.530697,9794400
2022-10-03,60.990002,63.240002,60.810001,63.080002,62.522949,9661400
2022-10-04,63.799999,65.830002,63.799999,65.690002,65.109901,9892600
2022-10-05,65.339996,67.190002,64.980003,66.639999,66.051514,9201600
2022-10-06,66.330002,66.809998,65.220001,65.300003,64.723343,6992000
2022-10-07,64.489998,64.620003,62.740002,63.290001,62.731094,7137900
2022-10-10,63.610001,63.900002,62.020000,62.570000,62.017452,6407200
2022-10-11,61.849998,63.099998,61.650002,62.410000,62.176853,7376900
2022-10-12,62.619999,64.279999,62.169998,63.779999,63.541733,9008600
2022-10-13,62.480000,65.709999,62.270000,65.199997,64.956429,10147100
2022-10-14,65.720001,66.610001,64.209999,64.309998,64.069756,8044500
2022-10-17,65.879997,67.570000,65.870003,67.019997,66.769630,11368300
2022-10-18,68.000000,68.580002,66.330002,67.029999,66.779594,6688600
2022-10-19,66.489998,67.190002,65.779999,66.300003,66.052322,5506000
2022-10-20,67.529999,69.919998,67.190002,69.250000,68.991302,17600500
2022-10-21,71.029999,72.790001,70.309998,72.699997,72.428413,15652600
2022-10-24,72.930000,73.690002,71.779999,72.919998,72.647591,11489400
2022-10-25,73.449997,74.110001,72.610001,73.139999,72.866768,9137700
2022-10-26,72.610001,75.720001,72.550003,74.820000,74.540497,10693600
